Transportista,Patente,Date,bajo,medio,alto,distance,raev,dev
Coseducam,TFYH22,2024-10-19,6.2,8.2,10.3,526.1340339864228,11.548778449643896,7.029816602397883
Coseducam,SKTL81,2024-10-19,6.2,8.2,10.3,5.762379885880001,0.0,0.0
Coseducam,TJRF23,2024-10-19,6.2,8.2,10.3,518.1301249927089,9.453279024275627,5.5859195833271125
Coseducam,SLXY12,2024-10-19,6.2,8.2,10.3,79.67781557192285,0.0,0.0
Coseducam,SWKV91,2024-10-19,6.2,8.2,10.3,157.19344407308995,1.3081431632665237,0.96433821831038
Coseducam,TJSZ85,2024-10-19,6.2,8.2,10.3,267.888651883196,5.264388710163198,3.2747510279515564
Vía Carrión,SXCG35,2024-10-19,6.2,8.2,10.3,440.2405463624285,1.895665191696932,1.386070854636771
Coseducam,RPCJ35,2024-10-19,6.2,8.2,10.3,398.7186958256515,14.103880763274974,9.063528316712135
Coseducam,SKPK71,2024-10-19,6.2,8.2,10.3,165.19472111049816,0.6081580954908298,0.3868797586639408
Coseducam,TBYZ89,2024-10-19,6.2,8.2,10.3,522.1123999759101,31.60579001395997,20.354778073141645
Vía Carrión,RLWB14,2024-10-19,6.2,8.2,10.3,53.90038070809226,0.0522504539413232,0.04530613042223902
Coseducam,PLPF60,2024-10-19,6.2,8.2,10.3,275.5595320562604,9.43819417696164,6.1919468130720725
Coseducam,TBGK52,2024-10-19,6.2,8.2,10.3,270.13011165726175,6.845929859501115,4.33489830476269
Coseducam,TBRS46,2024-10-19,6.2,8.2,10.3,521.1306001602811,18.000850859087826,10.969736654890315
Coseducam,TDCV29,2024-10-19,6.2,8.2,10.3,509.15822556542884,10.227903387266721,6.743453679401532
Vía Carrión,TFYJ44,2024-10-19,6.2,8.2,10.3,307.51213119128363,8.58671038399155,5.289525587494857
Coseducam,SYLR60,2024-10-19,6.2,8.2,10.3,453.1758275682486,23.89205326449944,14.895739857383456
Vía Carrión,TFYJ45,2024-10-19,6.2,8.2,10.3,418.4423542010517,2.8609051909758465,1.8064095675335616
Coseducam,TBLK38,2024-10-19,6.2,8.2,10.3,4.491288375238514,0.3117609745878505,0.2140213390154264
Vía Carrión,SLHS92,2024-10-19,6.2,8.2,10.3,523.175308017211,4.8513596018674745,3.2138398415501688
Coseducam,SYLR61,2024-10-19,6.2,8.2,10.3,484.58627975450884,12.473024608749853,8.435894728318932
Coseducam,SJFS43,2024-10-19,6.2,8.2,10.3,5.449250930352091,0.0,0.0
Coseducam,TCLY63,2024-10-19,6.2,8.2,10.3,248.11264796206063,12.788126392363033,7.421311153933213
Coseducam,SSBV31,2024-10-19,6.2,8.2,10.3,522.9656956099232,25.56304390269188,16.90346958732643
Coseducam,TFPB74,2024-10-19,6.2,8.2,10.3,380.9883014388894,12.476154425960345,7.328542492713714
Vía Carrión,SKPJ27,2024-10-19,6.2,8.2,10.3,48.807759456041204,0.5322679965546322,0.4081881006936234
Coseducam,TJPJ24,2024-10-19,6.2,8.2,10.3,452.88329799134766,9.026611287176722,6.0090907822880455
Coseducam,SJFS45,2024-10-19,6.2,8.2,10.3,523.1357708647224,11.56863522125361,7.621139312137205
Coseducam,SXSW78,2024-10-19,6.2,8.2,10.3,95.71381013558495,0.4866047255054298,0.3423783648529289
Coseducam,TJCC39,2024-10-19,6.2,8.2,10.3,526.4828325924211,27.9050642030172,17.54137606867613
Coseducam,SWSW95,2024-10-19,6.2,8.2,10.3,272.90385216482724,4.2104351151794575,2.475805095698964
Coseducam,TCYZ29,2024-10-19,6.2,8.2,10.3,185.36275821608345,1.596001862833318,1.2575355383766378
Vía Carrión,RFZV30,2024-10-19,6.2,8.2,10.3,422.41476223525393,1.108097010116843,0.7981114599037142
Coseducam,TJYV60,2024-10-19,6.2,8.2,10.3,439.2243806029878,20.129776675377244,12.103010800969182
Coseducam,TBLK39,2024-10-19,6.2,8.2,10.3,172.63689049182148,0.8389334316391673,0.54791377257315
Vía Carrión,SLHS90,2024-10-19,6.2,8.2,10.3,521.8334645661572,17.848874463608038,11.910387681005654
Vía Carrión,TFYJ45,2024-10-18,6.2,8.2,10.3,506.54037774533117,11.545186812921806,6.978102068347262
Coseducam,TCSW39,2024-10-18,6.2,8.2,10.3,425.6873811742111,7.571149779590892,4.918004023901394
Coseducam,RPCJ37,2024-10-18,6.2,8.2,10.3,267.25358064795904,6.565224440118534,4.572345990482951
Coseducam,SRTG68,2024-10-18,6.2,8.2,10.3,571.2928463188845,26.28379481966065,16.794967180884353
